#,id,first_name,last_name,email,password,role
1,1,Marie,Changed,mw@example.com,$2a$10$yKVodm8RE4YZPuR8BoR.9ObKZjmDCm1rP6EjcuvXFndCoSA7ts.4a,USER
2,2,Peter,Parker,pp@example.com,password,USER
3,4,Jessy,Jane,jj@example.com,password,USER
4,5,Steve,Rogers,sr@example.com,password,USER
5,6,Tony,Stark,ts@example.com,password,USER
6,7,Bruce,Banner,bb@example.com,password,USER
7,8,Thanos,Destroyer,td@example.com,password,USER
8,9,Bruce,Wayne,bw@example.com,password,USER
9,10,Gwen,Stacy,gs@example.com,password,USER
10,11,Happy,Gilmore,hg@example.com,password,USER
11,12,Thor,Odinson,to@example.com,password,USER
12,16,Jean,Gray,jg@example.com,password,USER
13,19,Jon,Snow,js@example.com,$2a$10$MRHPTPjxCGpz7fj.WmE9nu4fNmsv4eajdnpZjY9IzTe9IXktg/JPK,ADMIN
14,20,Sansa,Stark,ss@example.com,$2a$10$JKt/VnoaXh/nSUrXVb.geOkAtGhyrhOeLg2DsXFtmZ1bw99K.NOye,USER
15,21,Blue,Beetle,bb@test.com,$2a$10$bymyCOzrJjLrgv7dU9xLVuu2SAtPt9FCV5YTJkGRhHJT9Q2ll7ZSe,USER
16,26,Test,User,tu@example.com,$2a$10$3BDjq70Ew5E6NBwmiaSh4ul4sFX1yIXkqrLnIl1/Ftu6tEMdZtVlu,USER
17,27,Test,Test,test@example.com,$2a$10$awUpGdEVOiMxy0XGWBBZ0uqgj8sK34.akauJIyVNaIp6npe9.EQ4S,USER
18,31,Test,Update,tes1t@example.com,$2a$10$mI9Vk9w0jyh2yTROMOgXo.DPNHcyENW84QQUBR1MQ8F7tJsOWKkYC,USER
